"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (AED)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (AED)","Link clicks",Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2025-10-25,2026-07-02,"New Engagement ad",not_delivering,4,actions:onsite_conversion.messaging_conversation_started_7d,14.5425,38,Daily,58.17,825,717,1.150628,70.509091,3,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-01-10T18:37:42+0400,-,-,-,"OFFER - NEW"
2025-10-25,2026-07-02,"V01 Long Form",not_delivering,1,actions:leadgen.other,144.64,91,Daily,144.64,2764,2135,1.294614,52.329957,17,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-01-28T17:35:25+0400,-,-,-,"AD01 Long Form"
2025-10-25,2026-07-02,"Defender Ad1",not_delivering,9,actions:leadgen.other,35.09777778,100,Daily,315.88,4516,3345,1.350075,69.946856,29,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-05-13T12:27:31+0400,-,-,-,"Defender PPF Ad"
2025-10-25,2026-07-02,"Defender Ad2",inactive,4,actions:leadgen.other,100.5075,100,Daily,402.03,4512,3207,1.406922,89.102394,28,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-05-13T12:27:31+0400,-,-,-,"Defender PPF Ad"
2025-10-25,2026-07-02,"Defender Ad3",not_delivering,39,actions:leadgen.other,46.21923077,100,Daily,1802.55,24534,14868,1.650121,73.471509,161,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-05-13T12:27:31+0400,-,-,-,"Defender PPF Ad"
2025-10-25,2026-07-02,"Defender Ad4",not_delivering,2,actions:leadgen.other,50.655,100,Daily,101.31,1335,971,1.374871,75.88764,10,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-05-13T12:27:31+0400,-,-,-,"Defender PPF Ad"
2025-10-25,2026-07-02,"Patrol Ad01",not_delivering,53,actions:leadgen.other,44.86056604,150,Daily,2377.61,42574,18387,2.31544,55.846526,197,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-12T09:39:45+0400,-,-,-,"Patrol Ad - Qauli"
2025-10-25,2026-07-02,"ROX01 Ad01 - Copy",inactive,19,actions:leadgen.other,45.68526316,150,Daily,868.02,15596,7806,1.99795,55.656579,70,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-16T13:27:54+0400,-,-,-,"G700 Ads - Qauli Form"
2025-10-25,2026-07-02,"Rolls (1)",inactive,3,actions:leadgen.other,47.49333333,150,Daily,142.48,1711,1164,1.469931,83.27294,16,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-16T13:27:54+0400,-,-,-,"G700 Ads - Qauli Form"
2025-10-25,2026-07-02,"Rolls (1)",inactive,4,actions:leadgen.other,93.245,50,Daily,372.98,4760,2932,1.623465,78.357143,57,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"911 Premium Ads"
2025-10-25,2026-07-02,"911 1",not_delivering,36,actions:leadgen.other,51.87916667,50,Daily,1867.65,22085,11244,1.964159,84.566448,183,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"911 Premium Ads"
2025-10-25,2026-07-02,"911 2",inactive,2,actions:leadgen.other,37.835,50,Daily,75.67,924,741,1.246964,81.893939,11,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"911 Premium Ads"
2025-10-25,2026-07-02,"911 orig",inactive,2,actions:leadgen.other,76.675,50,Daily,153.35,1430,820,1.743902,107.237762,15,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"911 Premium Ads"
2025-10-25,2026-07-02,"Patrol Matte Vs Gloss",inactive,2,actions:leadgen.other,69.705,50,Daily,139.41,3086,2133,1.446789,45.174984,23,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"911 Premium Ads"
2025-10-25,2026-07-02,Ad01,not_delivering,3,actions:leadgen.other,98.49333333,100,Daily,295.48,6140,4052,1.515301,48.123779,40,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,Average,-,-,"Colour PPF June"
2025-10-25,2026-07-02,Ad02,not_delivering,,,,100,Daily,28.81,645,512,1.259766,44.666667,7,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,Average,-,-,"Colour PPF June"
2025-10-25,2026-07-02,Ad03,not_delivering,,,,100,Daily,24.86,418,340,1.229412,59.473684,2,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Colour PPF June"
2025-10-25,2026-07-02,"New Leads Ad",not_delivering,28,actions:offsite_conversion.fb_pixel_lead,40.6225,"Using campaign budget",0,1137.43,24153,13791,1.75136,47.092701,565,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,2026-06-23T09:47:31+0400,"Below average - Bottom 35% of ads","Above average","Above average","test 1"
2025-10-25,2026-07-02,"New Leads Ad",not_delivering,1,actions:offsite_conversion.fb_pixel_lead,156.65,"Using campaign budget",0,156.65,3137,2055,1.526521,49.936245,43,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,0,"Below average - Bottom 35% of ads","Above average","Above average","test 2"
